lga_name,suburb,latitude,longitude
Campaspe,Strathfieldsaye,-36.8021738,144.4779988
Glenelg,Strathkellar,-37.7255033,141.8945505
Ballarat,Strathlea,-37.3708363,143.9541563
Moira,Strathmerton,-35.9078595,145.4471613
Moonee Valley,Strathmore,-37.7306079,144.9006313
Moonee Valley,Strathmore Heights,-37.7306079,144.9006313
Ararat,Streatham,-37.6978029,143.0029169
Baw Baw,Strzelecki,-38.4372473,145.8245558
Buloke,Stuart Mill,-36.7208653,143.1749726
Knox,Studfield,-37.8668518,145.220397
Colac-Otway,Sugarloaf,-38.6077436,143.8454596
Mitchell,Sugarloaf Creek,-37.2372916,145.093449
East Gippsland,Suggan Buggan,-37.2938907,148.2804541
Bass Coast,Summerlands,-38.4898703,145.2038278
Hume,Sunbury,-37.5424727,144.7192376
Mitchell,Sunday Creek,-37.2372916,145.093449
Bass Coast,Sunderland Bay,-38.4898703,145.2038278
Mildura,Sunnycliffs,-34.3907124,141.4309582
Bass Coast,Sunset Strip,-38.4898703,145.2038278
Brimbank,Sunshine,-37.7791149,144.823628
Brimbank,Sunshine North,-37.7791149,144.823628
Brimbank,Sunshine West,-37.7791149,144.823628
Bass Coast,Surf Beach,-38.4898703,145.2038278
Boroondara,Surrey Hills,-37.8259003,145.0989646
Boroondara,Surrey Hills North,-37.8259003,145.0989646
Monash,Surrey Hills South,-37.8483275,145.1099967
Golden Plains,Sutherlands Creek,-37.9939081,144.1938221
Buloke,Sutton,-35.7166782,143.1534436
Mount Alexander,Sutton Grange,-37.0470063,144.3685809
Greater Geelong,Swan Bay,-38.2407088,144.6643482
Gannawarra,Swan Hill,-35.4094202,143.5202874
Gannawarra,Swan Hill West,-35.4094202,143.5202874
Greater Geelong,Swan Island,-38.2407088,144.6643482
Colac-Otway,Swan Marsh,-38.36853,143.4338092
East Gippsland,Swan Reach,-37.8097254,147.8594587
Benalla,Swanpool,-36.675664,146.1588712
East Gippsland,Swifts Creek,-37.1819263,147.7799935
Brimbank,Sydenham,-37.6940036,144.7521888
Loddon,Sylvaterre,-36.0765288,144.1283863
Monash,Syndal,-37.8772869,145.1265477
Strathbogie,Tabilk,-36.8378153,145.1706992
Moyne,Tabor,-37.8854097,142.318772
Murrindindi,Taggerty,-37.1872994,145.6245586
Glenelg,Tahara,-37.7255033,141.8945505
