Year,Year ending,Police Region,Local Government Area,Offence Count,"Rate per 100,000 population"
2019,December,4 Western, Campaspe,"3,961","10,528.4"
2019,December,4 Western, Central Goldfields,"1,408","10,678.0"
2019,December,4 Western, Colac-Otway,"1,649","7,647.0"
2019,December,4 Western, Corangamite,647,"4,038.7"
2019,December,4 Western, Gannawarra,829,"7,916.3"
2019,December,4 Western, Glenelg,"1,675","8,513.8"
2019,December,4 Western, Golden Plains,650,"2,740.1"
2019,December,4 Western, Greater Bendigo,"11,456","9,700.8"
2019,December,4 Western, Greater Geelong,"21,711","8,384.8"
2019,December,4 Western, Hepburn,870,"5,446.0"
2019,December,4 Western, Hindmarsh,330,"5,905.5"
2019,December,4 Western, Horsham,"1,951","9,793.7"
2019,December,4 Western, Loddon,476,"6,343.3"
2019,December,4 Western, Macedon Ranges,"2,444","4,865.5"
2019,December,4 Western, Mildura,"7,438","13,335.2"
2019,December,4 Western, Moorabool,"2,127","6,068.6"
2019,December,4 Western, Mount Alexander,"1,224","6,196.2"
2019,December,4 Western, Moyne,684,"4,034.7"
2019,December,4 Western, Northern Grampians,"1,104","9,682.5"
2019,December,4 Western, Pyrenees,654,"8,752.7"
2019,December,4 Western, Queenscliffe,116,"3,945.6"
2019,December,4 Western, Southern Grampians,"1,215","7,546.6"
2019,December,4 Western, Surf Coast,"1,245","3,721.3"
2019,December,4 Western, Swan Hill,"2,625","12,712.5"
2019,December,4 Western, Warrnambool,"3,452","9,812.1"
2019,December,4 Western, West Wimmera,167,"4,347.8"
2019,December,4 Western, Yarriambiack,478,"7,199.9"
2019,December,4 Western,Total,"85,892","8,494.1"
2019,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"2,760",
2019,December,Justice Institutions and Immigration Facilities,Total,"2,760",
2019,December,Unincorporated Vic, Unincorporated Vic,156,
2019,December,Unincorporated Vic,Total,156,
2018,December,1 North West Metro, Banyule,"9,406","7,221.5"
2018,December,1 North West Metro, Brimbank,"19,051","9,126.5"
2018,December,1 North West Metro, Darebin,"15,237","9,425.7"
2018,December,1 North West Metro, Hobsons Bay,"6,235","6,462.4"
2018,December,1 North West Metro, Hume,"20,703","9,225.0"
2018,December,1 North West Metro, Maribyrnong,"8,435","9,227.4"
2018,December,1 North West Metro, Melbourne,"36,138","21,218.1"
2018,December,1 North West Metro, Melton,"10,682","6,816.1"
2018,December,1 North West Metro, Moonee Valley,"8,617","6,737.0"
2018,December,1 North West Metro, Moreland,"14,556","8,007.5"
2018,December,1 North West Metro, Nillumbik,"2,107","3,244.5"
2018,December,1 North West Metro, Whittlesea,"15,615","6,991.4"
2018,December,1 North West Metro, Wyndham,"14,461","5,662.8"
2018,December,1 North West Metro, Yarra,"13,682","13,880.9"
2018,December,1 North West Metro,Total,"194,925","8,892.9"
2018,December,2 Eastern, Alpine,579,"4,548.3"
2018,December,2 Eastern, Bass Coast,"2,211","6,258.8"
2018,December,2 Eastern, Baw Baw,"4,490","8,632.6"
2018,December,2 Eastern, Benalla,"1,191","8,493.2"
2018,December,2 Eastern, Boroondara,"6,942","3,827.4"
2018,December,2 Eastern, East Gippsland,"4,509","9,631.3"
2018,December,2 Eastern, Greater Shepparton,"8,744","13,246.9"
2018,December,2 Eastern, Indigo,451,"2,735.2"
2018,December,2 Eastern, Knox,"10,808","6,622.1"
2018,December,2 Eastern, Latrobe,"14,608","19,423.2"
2018,December,2 Eastern, Manningham,"4,362","3,474.7"
2018,December,2 Eastern, Mansfield,480,"5,345.8"
2018,December,2 Eastern, Maroondah,"8,107","6,899.3"
2018,December,2 Eastern, Mitchell,"4,316","9,743.1"
2018,December,2 Eastern, Moira,"2,115","7,098.0"
2018,December,2 Eastern, Monash,"10,333","5,161.0"
2018,December,2 Eastern, Murrindindi,716,"4,945.4"
2018,December,2 Eastern, South Gippsland,"1,445","4,885.9"
2018,December,2 Eastern, Strathbogie,604,"5,674.6"
2018,December,2 Eastern, Towong,212,"3,501.8"
2018,December,2 Eastern, Wangaratta,"2,388","8,210.1"
2018,December,2 Eastern, Wellington,"4,004","9,096.5"
2018,December,2 Eastern, Whitehorse,"8,193","4,647.9"
2018,December,2 Eastern, Wodonga,"3,208","7,743.4"
2018,December,2 Eastern, Yarra Ranges,"7,658","4,841.6"
2018,December,2 Eastern,Total,"112,674","6,630.8"
2018,December,3 Southern Metro, Bayside,"4,686","4,431.4"
2018,December,3 Southern Metro, Cardinia,"6,132","5,724.6"
2018,December,3 Southern Metro, Casey,"20,940","6,150.8"
2018,December,3 Southern Metro, Frankston,"14,872","10,484.5"
2018,December,3 Southern Metro, Glen Eira,"6,470","4,203.5"
2018,December,3 Southern Metro, Greater Dandenong,"18,294","11,011.2"
2018,December,3 Southern Metro, Kingston,"11,004","6,732.3"
2018,December,3 Southern Metro, Mornington Peninsula,"10,797","6,511.2"
2018,December,3 Southern Metro, Port Phillip,"13,132","11,594.0"
2018,December,3 Southern Metro, Stonnington,"10,786","9,275.8"
2018,December,3 Southern Metro,Total,"117,113","7,440.3"
2018,December,4 Western, Ararat,"1,348","11,428.6"
2018,December,4 Western, Ballarat,"10,864","10,122.6"
2018,December,4 Western, Buloke,236,"3,816.9"
2018,December,4 Western, Campaspe,"3,807","10,127.7"
2018,December,4 Western, Central Goldfields,"1,295","9,804.7"
2018,December,4 Western, Colac-Otway,"1,596","7,422.6"
2018,December,4 Western, Corangamite,733,"4,541.8"
2018,December,4 Western, Gannawarra,750,"7,111.7"
2018,December,4 Western, Glenelg,"1,343","6,829.7"
2018,December,4 Western, Golden Plains,684,"2,958.7"
2018,December,4 Western, Greater Bendigo,"10,549","9,090.8"
2018,December,4 Western, Greater Geelong,"20,767","8,233.4"
2018,December,4 Western, Hepburn,740,"4,680.0"
2018,December,4 Western, Hindmarsh,351,"6,219.0"
2018,December,4 Western, Horsham,"3,021","15,200.8"
2018,December,4 Western, Loddon,490,"6,522.0"
2018,December,4 Western, Macedon Ranges,"2,331","4,719.9"
2018,December,4 Western, Mildura,"7,330","13,203.4"
2018,December,4 Western, Moorabool,"2,441","7,146.6"
