year,Local Government Area,my_sa4_name,my_sa4_code,Offence Count
2014,Greater Shepparton,Shepparton,216,7261
2014,Indigo,Hume,204,441
2014,Knox,Melbourne,206,9540
2014,Latrobe,Latrobe - Gippsland,205,11883
2014,Manningham,Melbourne,206,4026
2014,Mansfield,Hume,204,571
2014,Maroondah,Melbourne,206,7763
2014,Mitchell,Hume,204,3289
2014,Moira,Shepparton,216,1423
2014,Monash,Melbourne,206,9148
2014,Murrindindi,Hume,204,671
2014,South Gippsland,Latrobe - Gippsland,205,1201
2014,Strathbogie,Hume,204,493
2014,Towong,Hume,204,196
2014,Wangaratta,Hume,204,2511
2014,Wellington,Latrobe - Gippsland,205,3902
2014,Whitehorse,Melbourne,206,7330
2014,Wodonga,Hume,204,3172
2014,Yarra Ranges,Melbourne,206,7055
2014,Bayside,Melbourne,206,4260
2014,Cardinia,Melbourne,206,5595
2014,Casey,Melbourne,206,17612
2014,Frankston,Mornington Peninsula,214,14902
2014,Glen Eira,Melbourne,206,5353
2014,Greater Dandenong,Melbourne,206,15962
2014,Kingston,Melbourne,206,9468
2014,Mornington Peninsula,Mornington Peninsula,214,10441
2014,Port Phillip,Melbourne,206,11886
2014,Stonnington,Melbourne,206,9609
2014,Ararat,North West,215,1018
2014,Ballarat,Ballarat,201,10221
2014,Buloke,North West,215,216
2014,Campaspe,Shepparton,216,2948
2014,Central Goldfields,Ballarat,201,1097
2014,Colac-Otway,Geelong,203,1535
2014,Corangamite,Warrnambool and South West,217,671
2014,Gannawarra,North West,215,546
2014,Glenelg,North West,215,1730
2014,Golden Plains,Geelong,203,577
2014,Greater Bendigo,Bendigo,202,8641
2014,Greater Geelong,Geelong,203,18523
2014,Hepburn,Geelong,203,616
2014,Hindmarsh,North West,215,228
2014,Horsham,North West,215,2379
2014,Loddon,Bendigo,202,531
2014,Macedon Ranges,Melbourne,206,2088
2014,Mildura,North West,215,5937
2014,Moorabool,Geelong,203,1927
2014,Mount Alexander,Bendigo,202,1012
2014,Moyne,Warrnambool and South West,217,646
2014,Northern Grampians,North West,215,936
2014,Pyrenees,Ballarat,201,451
2014,Queenscliffe,Geelong,203,126
2014,Southern Grampians,Warrnambool and South West,217,953
2014,Surf Coast,Geelong,203,1411
2014,Swan Hill,North West,215,2197
2014,Warrnambool,Warrnambool and South West,217,3001
2014,West Wimmera,North West,215,194
2014,Yarriambiack,North West,215,355
2013,Banyule,Melbourne,206,9512
2013,Brimbank,Melbourne,206,19337
2013,Darebin,Melbourne,206,12267
2013,Hobsons Bay,Melbourne,206,6672
2013,Hume,Hume,204,15311
2013,Maribyrnong,Melbourne,206,8510
2013,Melbourne,Melbourne,206,32474
2013,Melton,Melbourne,206,8963
2013,Moonee Valley,Melbourne,206,7663
2013,Moreland,Melbourne,206,12059
2013,Nillumbik,Melbourne,206,2167
2013,Whittlesea,Melbourne,206,12900
2013,Wyndham,Melbourne,206,12407
2013,Yarra,Melbourne,206,11200
2013,Alpine,Hume,204,494
2013,Bass Coast,Latrobe - Gippsland,205,2492
2013,Baw Baw,Latrobe - Gippsland,205,3169
2013,Benalla,Hume,204,1105
2013,Boroondara,Melbourne,206,7002
2013,East Gippsland,Latrobe - Gippsland,205,3968
2013,Greater Shepparton,Shepparton,216,6416
2013,Indigo,Hume,204,516
2013,Knox,Melbourne,206,9267
2013,Latrobe,Latrobe - Gippsland,205,10232
2013,Manningham,Melbourne,206,4097
2013,Mansfield,Hume,204,347
2013,Maroondah,Melbourne,206,6814
2013,Mitchell,Hume,204,2923
2013,Moira,Shepparton,216,1456
2013,Monash,Melbourne,206,8654
2013,Murrindindi,Hume,204,694
2013,South Gippsland,Latrobe - Gippsland,205,1257
2013,Strathbogie,Hume,204,521
2013,Towong,Hume,204,305
2013,Wangaratta,Hume,204,2409
2013,Wellington,Latrobe - Gippsland,205,4096
2013,Whitehorse,Melbourne,206,7099
2013,Wodonga,Hume,204,2757
2013,Yarra Ranges,Melbourne,206,6502
2013,Bayside,Melbourne,206,4301
2013,Cardinia,Melbourne,206,6194
2013,Casey,Melbourne,206,15570
2013,Frankston,Mornington Peninsula,214,14189
2013,Glen Eira,Melbourne,206,5973
2013,Greater Dandenong,Melbourne,206,16102
2013,Kingston,Melbourne,206,9315
2013,Mornington Peninsula,Mornington Peninsula,214,9388
2013,Port Phillip,Melbourne,206,11170
2013,Stonnington,Melbourne,206,9386
2013,Ararat,North West,215,1308
2013,Ballarat,Ballarat,201,9979
2013,Buloke,North West,215,218
2013,Campaspe,Shepparton,216,2622
2013,Central Goldfields,Ballarat,201,1041
2013,Colac-Otway,Geelong,203,1336
2013,Corangamite,Warrnambool and South West,217,619
2013,Gannawarra,North West,215,536
2013,Glenelg,North West,215,1479
2013,Golden Plains,Geelong,203,518
2013,Greater Bendigo,Bendigo,202,8774
2013,Greater Geelong,Geelong,203,16622
2013,Hepburn,Geelong,203,594
2013,Hindmarsh,North West,215,241
2013,Horsham,North West,215,1791
2013,Loddon,Bendigo,202,376
2013,Macedon Ranges,Melbourne,206,1810
2013,Mildura,North West,215,5566
2013,Moorabool,Geelong,203,1860
2013,Mount Alexander,Bendigo,202,922
2013,Moyne,Warrnambool and South West,217,554
2013,Northern Grampians,North West,215,1974
2013,Pyrenees,Ballarat,201,412
2013,Queenscliffe,Geelong,203,80
2013,Southern Grampians,Warrnambool and South West,217,1138
2013,Surf Coast,Geelong,203,1196
2013,Swan Hill,North West,215,1752
2013,Warrnambool,Warrnambool and South West,217,2537
2013,West Wimmera,North West,215,146
2013,Yarriambiack,North West,215,312
2012,Banyule,Melbourne,206,7243
2012,Brimbank,Melbourne,206,18463
2012,Darebin,Melbourne,206,11525
2012,Hobsons Bay,Melbourne,206,6921
2012,Hume,Hume,204,15346
2012,Maribyrnong,Melbourne,206,8993
2012,Melbourne,Melbourne,206,34757
2012,Melton,Melbourne,206,8453
2012,Moonee Valley,Melbourne,206,8471
2012,Moreland,Melbourne,206,11778
2012,Nillumbik,Melbourne,206,1813
2012,Whittlesea,Melbourne,206,12217
2012,Wyndham,Melbourne,206,13030
2012,Yarra,Melbourne,206,10828
2012,Alpine,Hume,204,405
2012,Bass Coast,Latrobe - Gippsland,205,2256
2012,Baw Baw,Latrobe - Gippsland,205,2775
2012,Benalla,Hume,204,905
2012,Boroondara,Melbourne,206,6842
2012,East Gippsland,Latrobe - Gippsland,205,3196
2012,Greater Shepparton,Shepparton,216,6050
2012,Indigo,Hume,204,485
2012,Knox,Melbourne,206,8733
2012,Latrobe,Latrobe - Gippsland,205,9859
2012,Manningham,Melbourne,206,3693
2012,Mansfield,Hume,204,320
2012,Maroondah,Melbourne,206,6553
2012,Mitchell,Hume,204,2573
2012,Moira,Shepparton,216,1274
2012,Monash,Melbourne,206,8929
2012,Murrindindi,Hume,204,608
2012,South Gippsland,Latrobe - Gippsland,205,1187
2012,Strathbogie,Hume,204,486
2012,Towong,Hume,204,270
2012,Wangaratta,Hume,204,2306
2012,Wellington,Latrobe - Gippsland,205,3624
2012,Whitehorse,Melbourne,206,7112
2012,Wodonga,Hume,204,3311
2012,Yarra Ranges,Melbourne,206,6571
2012,Bayside,Melbourne,206,4312
2012,Cardinia,Melbourne,206,5016
2012,Casey,Melbourne,206,15014
2012,Frankston,Mornington Peninsula,214,13469
2012,Glen Eira,Melbourne,206,5515
2012,Greater Dandenong,Melbourne,206,14960
2012,Kingston,Melbourne,206,9319
2012,Mornington Peninsula,Mornington Peninsula,214,9342
2012,Port Phillip,Melbourne,206,10970
2012,Stonnington,Melbourne,206,8709
2012,Ararat,North West,215,1176
2012,Ballarat,Ballarat,201,9543
2012,Buloke,North West,215,309
2012,Campaspe,Shepparton,216,2622
2012,Central Goldfields,Ballarat,201,956
2012,Colac-Otway,Geelong,203,1420
2012,Corangamite,Warrnambool and South West,217,827
2012,Gannawarra,North West,215,527
2012,Glenelg,North West,215,1332
