city_name,LGA_name,
Middle Brighton Beach,City of Bayside,
Brighton Beach,City of Bayside,
Northcote,City of Darebin,
Corryong,Shire of Towong,
Eldorado,Rural City of Wangaratta,
Tyabb,Shire of Mornington Peninsula,
Powelltown,Shire of Yarra Ranges,
Aberfeldie,City of Moonee Valley,
Scarsdale,Golden Plains Shire,
Mount Helen,City of Ballarat,
Keysborough,City of Greater Dandenong,
Port of Sale,Shire of Wellington,
Tallangatta,Shire of Towong,
Ringwood,City of Maroondah,
Mitcham,City of Whitehorse,
Nunawading,City of Manningham,
Blackburn,City of Whitehorse,
Doncaster East,City of Manningham,
Collingwood,City of Yarra,
Thomastown,City of Whittlesea,
Brunswick East,City of Moreland,
Nelson City,Shire of Glenelg,
Lauriston,Shire of Macedon Ranges,
Barfold,Shire of Mount Alexander,
Barrabool,Surf Coast Shire,
Mallacoota,Shire of East Gippsland,
Shoreham,Shire of Mornington Peninsula,
Kiata,Shire of Hindmarsh,
Minyip,Shire of Yarriambiack,
Kellalac,Shire of Yarriambiack,
Brunswick West,City of Moreland,
Smiths Gully,Shire of Nillumbik,
Drysdale,City of Greater Geelong,
Merricks,Shire of Mornington Peninsula,
Balnarring,Shire of Mornington Peninsula,
Weir,City of Melton,
Rubicon,Shire of Murrindindi,
Mill Park,City of Whittlesea,
Breakwater,City of Greater Geelong,
Burrumbeet,City of Ballarat,
Taggerty,Shire of Murrindindi,
Wyndham Vale,City of Wyndham,
Yallourn North,City of Latrobe,
Tottenham,City of Maribyrnong,
Tooborac,Shire of Mitchell,
Newhaven,Bass Coast Shire,
Westfield Doncaster,City of Manningham,
South Wharf,City of Port Phillip,
Fitzroy North,City of Moreland,
Marshalltown,City of Greater Geelong,
Separation Creek,Colac Otway Shire,
Cowes Beach,City of Bayside,
Nyah West,Rural City of Swan Hill,
Parkdale Beach,City of Kingston,
Zumsteins,Shire of Northern Grampians,
Forrest,Colac Otway Shire,
Bogong,Alpine Shire,
Carrum Downs,City of Frankston,
Malmsbury,Shire of Macedon Ranges,
Wantirna South,City of Knox,
Nirranda,Shire of Moyne,
Greenvale,City of Hume,
Mentone Beach,City of Kingston,
Goornong,City of Greater Bendigo,
Truganina,City of Wyndham,
Gembrook,Shire of Cardinia,
Navarre,Shire of Northern Grampians,
Bethanga,Shire of Towong,
Mitta Mitta,Shire of Towong,
Princes Hill,City of Yarra,
Ballan,Shire of Moorabool,
Bentleigh East,City of Glen Eira,
Werribee South,City of Wyndham,
Toolangi,Shire of Murrindindi,
Indented Head,City of Greater Geelong,
Moggs Creek,Surf Coast Shire,
Wandin East,Shire of Yarra Ranges,
Torquay,Surf Coast Shire,
Loch Valley,Shire of Baw Baw,
Laharum,Rural City of Horsham,
Horseshoe Bay,Shire of Moyne,
Benwerrin,Surf Coast Shire,
Yering,Shire of Yarra Ranges,
Balliang,Shire of Moorabool,
Violet Town,Shire of Strathbogie,
Heathcote Junction,Shire of Mitchell,
Wynyard,City of Port Phillip,
Hillingdon,City of Stonnington,
Anglesea Beach,Surf Coast Shire,
St Albans,City of Brimbank,
Ardeer,City of Brimbank,
Albion,City of Brimbank,
Sunshine,City of Brimbank,
Kealba,City of Brimbank,
Fyansford,City of Greater Geelong,
Peak Hill,City of Greater Geelong,
Washington,Alpine Shire,
Beveridge,Shire of Mitchell,
Boolarra,City of Latrobe,
Moss,City of Port Phillip,
Rome,City of Monash,
Plumpton,City of Melton,
Glenroy,City of Moreland,
Chelsea,City of Kingston,
Lang Lang,Shire of Cardinia,
Grovedale,City of Greater Geelong,
Armstrong Creek,City of Greater Geelong,
Kinglake West,Shire of Murrindindi,
Curlewis,City of Greater Geelong,
Sorrento,Shire of Mornington Peninsula,
Bayles,Shire of Cardinia,
Tynong,Shire of Cardinia,
Bonbeach,City of Kingston,
Altona North,City of Hobsons Bay,
Pune,Rural City of Mildura,
Pomonal,Rural City of Ararat,
Altona Beach,City of Hobsons Bay,
Sherbrooke,Shire of Yarra Ranges,
Heidelberg West,City of Banyule,
Greensborough,Shire of Nillumbik,
Heidelberg,City of Banyule,
Macleod,City of Darebin,
Rosanna,City of Banyule,
Cranbourne West,City of Casey,
Longford,Shire of Wellington,
Warrenheip,Shire of Moorabool,
Yendon,Shire of Moorabool,
Coburg,City of Darebin,
Severn,City of Hume,
Chelsea Beach,City of Kingston,
Venice,Rural City of Mildura,
Preston,City of Darebin,
South Melbourne,City of Port Phillip,
Smeaton,Shire of Hepburn,
Eltham,Shire of Nillumbik,
Westbury,Shire of Baw Baw,
Parwan,Shire of Moorabool,
Melton South,City of Melton,
St Kilda Pier,City of Port Phillip,
Plenty,Shire of Nillumbik,
Lake Tyrrell,Shire of Buloke,
Princetown,Corangamite Shire,
Enfield,Golden Plains Shire,
Dookie,City of Greater Shepparton,
Yarra Junction - Wesburn,Shire of Yarra Ranges,
Sorrento Beach,Shire of Mornington Peninsula,
Half Moon Bay,City of Bayside,
Centro,City of Port Phillip,
Gainesville,City of Melbourne,
Carnegie,City of Glen Eira,
Willow Grove,Shire of Baw Baw,
Vermont,City of Maroondah,
Moorabbin,City of Kingston,
Bulleen,City of Manningham,
Alphington,City of Darebin,
Sandringham,City of Bayside,
Wareek,Pyrenees Shire,
Elsternwick,City of Glen Eira,
Swan Reach,Shire of East Gippsland,
Coopers Creek,Shire of Baw Baw,
Kevington,Shire of Mansfield,
Clifton Creek,Shire of East Gippsland,
Anakie,City of Greater Geelong,
Frankston South,City of Frankston,
Neerim South,Shire of Baw Baw,
Golden Beach - Paradise Beach,Shire of Wellington,
Mernda,City of Whittlesea,
Cranbourne,City of Casey,
Barnawartha,Shire of Indigo,
Glen Huntly,City of Glen Eira,
Kew,City of Boroondara,
Caulfield,City of Glen Eira,
Braybrook,City of Maribyrnong,
Bromley,Shire of Central Goldfields,
Portland Wharf,Shire of Glenelg,
Lindenow,Shire of East Gippsland,
Mount Evelyn,Shire of Yarra Ranges,
Point Lonsdale,Borough of Queenscliffe,
Coburg North,City of Darebin,
Long Gully,City of Greater Bendigo,
Wallington,City of Greater Geelong,
Great Western,Shire of Northern Grampians,
Tresco West,Rural City of Swan Hill,
Loch,South Gippsland Shire,
Charleroi,Shire of Indigo,
Glen Iris,City of Stonnington,
Paringa,City of Melbourne,
Lalor,City of Whittlesea,
Glenmaggie,Shire of Wellington,
Burwood,City of Monash,
Newham,Shire of Macedon Ranges,
Wimbledon Heights,Bass Coast Shire,
Murtoa,Shire of Yarriambiack,
Fern Gully,City of Knox,
Berwick,City of Casey,
Quambatook,Shire of Gannawarra,
St Andrews,Shire of Nillumbik,
Wandong - Heathcote Junction,Shire of Mitchell,
Allansford,City of Warrnambool,
Buln Buln,Shire of Baw Baw,
Victoria Island,Shire of Moira,
Tanybryn,Shire of Murrindindi,
Tanjil Bren,Shire of Baw Baw,
Nelse,Shire of East Gippsland,
Fernshaw,Shire of Yarra Ranges,
Bunyip North,Shire of Cardinia,
Emerald,Shire of Cardinia,
Bentleigh,City of Glen Eira,
Surf Beach,Bass Coast Shire,
Balwyn North,City of Boroondara,
Montreux,City of Stonnington,
Lyon,Shire of Glenelg,
Gnarwarre,Surf Coast Shire,
Baw Baw,Shire of Baw Baw,
Barwidgee,Alpine Shire,
Metcalfe,Shire of Mount Alexander,
Milawa,Rural City of Wangaratta,
Walpeup,Rural City of Mildura,
Cambarville,Shire of Yarra Ranges,
Fernbank,Shire of East Gippsland,
Blampied,Shire of Hepburn,
Musk,Shire of Hepburn,
Caulfield North,City of Glen Eira,
Malvern,City of Stonnington,
Boonah,Surf Coast Shire,
Merrigum,City of Greater Shepparton,
Eaglemont,City of Banyule,
Yanakie,South Gippsland Shire,
Drouin South,Shire of Baw Baw,
Oakleigh East,City of Monash,
Aireys Inlet,Surf Coast Shire,
Gellibrand,Colac Otway Shire,
Bellbrae,Surf Coast Shire,
Corio,City of Greater Geelong,
Ferntree Gully,City of Knox,
Eastern View,Surf Coast Shire,
Locksley,Shire of Strathbogie,
Ocean Grove,City of Greater Geelong,
Bena,South Gippsland Shire,
Chadstone,City of Monash,
Merrijig,Shire of Mansfield,
Werribee,City of Wyndham,
Huntly,City of Greater Bendigo,
Garfield,Shire of Cardinia,
Longwood,Shire of Strathbogie,
Stockland Wendouree,City of Ballarat,
Niddrie,City of Moonee Valley,
Ashburton,City of Boroondara,
Silvan,Shire of Yarra Ranges,
Beaconsfield,Shire of Cardinia,
Clunes Booktown,Shire of Hepburn,
North Geelong,City of Greater Geelong,
Norlane,City of Greater Geelong,
Geelong West,City of Greater Geelong,
Blairgowrie,Shire of Mornington Peninsula,
